1.000000 10.602292 -1.568512
102.000000 0.389841 -1.341834
203.000000 0.195973 -1.136515
304.000000 0.130875 -0.963719
405.000000 0.098240 -0.824155
506.000000 0.078632 -0.713122
607.000000 0.065549 -0.624713
708.000000 0.056198 -0.553685
809.000000 0.049182 -0.495914
910.000000 0.043724 -0.448302
1011.000000 0.039356 -0.408555
1112.000000 0.035781 -0.374971
1213.000000 0.032802 -0.346282
1314.000000 0.030281 -0.321529
1415.000000 0.028119 -0.299978
1516.000000 0.026246 -0.281062
1617.000000 0.024606 -0.264338
1718.000000 0.023160 -0.249453
1819.000000 0.021874 -0.236125
1920.000000 0.020723 -0.224127
2021.000000 0.019688 -0.213271
2122.000000 0.018751 -0.203404
2223.000000 0.017899 -0.194399
2324.000000 0.017121 -0.186148
2425.000000 0.016408 -0.178563
2526.000000 0.015752 -0.171565
2627.000000 0.015146 -0.165090
2728.000000 0.014585 -0.159083
2829.000000 0.014065 -0.153494
2930.000000 0.013580 -0.148281
3031.000000 0.013127 -0.143409
3132.000000 0.012704 -0.138844
3233.000000 0.012307 -0.134560
3334.000000 0.011934 -0.130530
3435.000000 0.011583 -0.126734
3536.000000 0.011252 -0.123151
3637.000000 0.010940 -0.119764
3738.000000 0.010644 -0.116558
3839.000000 0.010364 -0.113518
3940.000000 0.010099 -0.110632
4041.000000 0.009846 -0.107888
4142.000000 0.009606 -0.105277
4243.000000 0.009377 -0.102789
4344.000000 0.009159 -0.100415
4445.000000 0.008951 -0.098148
4546.000000 0.008752 -0.095981
4647.000000 0.008562 -0.093908
4748.000000 0.008380 -0.091921
4849.000000 0.008206 -0.090017
4950.000000 0.008038 -0.088190
5051.000000 0.007877 -0.086435
5152.000000 0.007723 -0.084749
5253.000000 0.007574 -0.083127
5354.000000 0.007432 -0.081566
5455.000000 0.007294 -0.080062
5556.000000 0.007161 -0.078613
5657.000000 0.007034 -0.077215
5758.000000 0.006910 -0.075866
5859.000000 0.006791 -0.074563
5960.000000 0.006676 -0.073304
6061.000000 0.006565 -0.072087
6162.000000 0.006457 -0.070909
6263.000000 0.006353 -0.069769
6364.000000 0.006252 -0.068666
6465.000000 0.006154 -0.067596
6566.000000 0.006060 -0.066559
6667.000000 0.005968 -0.065554
6768.000000 0.005879 -0.064579
6869.000000 0.005793 -0.063632
6970.000000 0.005709 -0.062712
7071.000000 0.005627 -0.061818
7172.000000 0.005548 -0.060950
7273.000000 0.005471 -0.060106
7374.000000 0.005396 -0.059284
7475.000000 0.005323 -0.058485
7576.000000 0.005252 -0.057707
7677.000000 0.005183 -0.056950
7778.000000 0.005116 -0.056212
7879.000000 0.005050 -0.055493
7980.000000 0.004986 -0.054792
8081.000000 0.004924 -0.054108
8182.000000 0.004863 -0.053442
8283.000000 0.004804 -0.052791
8384.000000 0.004746 -0.052156
8485.000000 0.004689 -0.051537
8586.000000 0.004634 -0.050931
8687.000000 0.004580 -0.050340
8788.000000 0.004528 -0.049763
8889.000000 0.004476 -0.049198
8990.000000 0.004426 -0.048646
9091.000000 0.004377 -0.048107
9192.000000 0.004329 -0.047579
9293.000000 0.004282 -0.047063
9394.000000 0.004236 -0.046557
9495.000000 0.004190 -0.046063
9596.000000 0.004146 -0.045579
9697.000000 0.004103 -0.045105
9798.000000 0.004061 -0.044640
9899.000000 0.004019 -0.044185
10000.000000 0.003979 -0.043740
